Country,Clicks,Impressions,CTR,Position
Peru,7,435,1.61%,5.22
Mexico,1,18,5.56%,6.67
United States,0,27,0%,4.48
Bolivia,0,13,0%,2.62
Colombia,0,13,0%,3.62
Spain,0,10,0%,5
Chile,0,9,0%,5.44
El Salvador,0,8,0%,2
Venezuela,0,8,0%,3.62
Argentina,0,5,0%,5.8
Panama,0,5,0%,5.8
Ecuador,0,3,0%,3.33
Nicaragua,0,3,0%,3.67
Brazil,0,3,0%,5
Italy,0,2,0%,1
Germany,0,2,0%,4
United Kingdom,0,2,0%,4.5
France,0,2,0%,9
China,0,2,0%,10.5
Caribbean Netherlands,0,1,0%,1
Costa Rica,0,1,0%,1
Guatemala,0,1,0%,1
Cuba,0,1,0%,3
Honduras,0,1,0%,4
Ukraine,0,1,0%,4
Australia,0,1,0%,5
Unknown Region,0,1,0%,6
Canada,0,1,0%,7
Portugal,0,1,0%,7
Dominican Republic,0,1,0%,8
Puerto Rico,0,1,0%,8
Turkey,0,1,0%,8
Paraguay,0,1,0%,11
South Africa,0,1,0%,11
Indonesia,0,1,0%,12
Nauru,0,1,0%,20
