Country,Clicks,Impressions,CTR,Position
Peru,22,476,4.62%,5.37
United States,0,45,0%,6.22
Mexico,0,27,0%,4
Colombia,0,23,0%,5.65
Ecuador,0,13,0%,4.62
Argentina,0,9,0%,4.67
Chile,0,7,0%,5.57
Honduras,0,6,0%,2
Panama,0,6,0%,4
Spain,0,6,0%,4.17
Canada,0,5,0%,4.8
Guatemala,0,5,0%,5.4
El Salvador,0,4,0%,4
Bolivia,0,3,0%,1
India,0,3,0%,6
Italy,0,3,0%,6.33
Vietnam,0,3,0%,9
Latvia,0,2,0%,2
Brazil,0,2,0%,2.5
Switzerland,0,2,0%,3
Venezuela,0,2,0%,3
Pakistan,0,2,0%,3.5
Portugal,0,2,0%,4
United Kingdom,0,2,0%,5.5
Iraq,0,2,0%,8.5
France,0,2,0%,10
Greece,0,2,0%,10.5
Costa Rica,0,2,0%,11
South Korea,0,2,0%,13.5
Paraguay,0,1,0%,1
Australia,0,1,0%,2
China,0,1,0%,2
Congo - Brazzaville,0,1,0%,2
Mongolia,0,1,0%,2
Dominican Republic,0,1,0%,3
Azerbaijan,0,1,0%,4
Puerto Rico,0,1,0%,8
Austria,0,1,0%,9
Ireland,0,1,0%,9
Nicaragua,0,1,0%,9
Hungary,0,1,0%,14
Kazakhstan,0,1,0%,17
Algeria,0,1,0%,18
Morocco,0,1,0%,95
